model,n,mae,rmse,r2,spearman,n_total,parameter,task,coverage90,mean_interval_width
no_decay,9844,234.52514602444649,1064.5987306662032,0.1361412156663192,0.7356142806601688,9844,EC,temporal,0.857273466070703,785.5055080609702
substitute_censor,1683,1.4411402442015395,2.3981690834208766,-0.0755438367370999,0.1917905777545825,1749,NO3N,spatial,0.9371069182389936,10.758126595198064
substitute_censor,1636,1.7792727002626,2.93113360384279,-0.205946675863226,0.2391991934727666,1697,NO3N,spatial_temporal,0.91101944608132,9.978252179129468
substitute_censor,12490,1.049083568083968,1.9847129757440611,0.4052763057240502,0.7652592843493717,13161,NO3N,temporal,0.9764455588481118,20.59744170932318
substitute_censor,1243,0.0785004849892936,0.1548393554284041,-0.0368414436749031,0.0615252748790888,1327,TP,spatial,0.9314242652599848,0.3049907758486938
substitute_censor,1680,0.0902076139507258,0.2146504003883975,0.025277445347851,0.1744700961448053,1733,TP,spatial_temporal,0.9117137911136756,0.279103394403547
substitute_censor,10883,0.1154509089540186,0.2806171778089486,0.1388244815581925,0.5386238458374198,12540,TP,temporal,0.8962519936204146,0.3246127229901404
substitute_censor,1106,1.7118580205583973,2.184554451347658,0.0956043257819644,0.5362867444055598,1106,O2-Dis,spatial,0.9113924050632912,7.154009431985773
substitute_censor,1270,1.635569955356753,2.097283499925603,0.1663535119420883,0.4578331352897242,1272,O2-Dis,spatial_temporal,0.8907232704402516,7.096749757024215
substitute_censor,9819,1.4996708190489478,2.0376928571918143,0.2967623040791347,0.5815018716231297,9824,O2-Dis,temporal,0.9473737785016286,9.138938895438274
substitute_censor,241,9.628867342654992,13.908095316698098,0.116090435641885,0.0241877199072362,276,TSS,spatial,0.7681159420289855,41.09529281108633
substitute_censor,256,8.278315910083416,12.92060156377766,-0.1401927716108055,-0.1334087778563646,290,TSS,spatial_temporal,0.8241379310344827,41.59591277972569
substitute_censor,2611,17.41968919991764,50.15423365817799,-0.0265218888629479,0.5141982849479214,4238,TSS,temporal,0.8775365738555923,37.24738872976565
substitute_censor,449,4.010199504646229,4.972776619862978,0.5119600457723639,0.7400229676489808,449,TEMP,spatial,0.8685968819599109,15.39859583135788
substitute_censor,495,4.129677849530235,5.090766410604936,0.4225762099039792,0.6873968997572435,495,TEMP,spatial_temporal,0.8747474747474747,15.218751954783334
substitute_censor,7259,3.48313886458531,4.496859756461951,0.5061131039182317,0.717565724549278,7259,TEMP,temporal,0.9373191899710704,16.69548343923153
substitute_censor,1057,0.2431807117825826,0.3668332344577143,0.4192484892707988,0.622310897584704,1057,pH,spatial,0.9082308420056764,1.071817350750035
substitute_censor,1136,0.2263014109987249,0.3136931673678587,0.4587324995380993,0.6005296993181292,1136,pH,spatial_temporal,0.9242957746478874,1.085729060730079
substitute_censor,10040,0.2493294774418981,0.3381208589311841,0.5181715191883807,0.6269042677877762,10040,pH,temporal,0.8620517928286853,0.94353388653258
substitute_censor,1053,1104.189198513506,6251.513283796667,0.0376253265005444,0.6386640506715732,1053,EC,spatial,0.8955365622032289,851.9218927375784
substitute_censor,1159,262.7821253692736,801.9782312824854,0.1652804206768939,0.667993722232185,1159,EC,spatial_temporal,0.910267471958585,833.6869249798631
substitute_censor,9844,214.1438450233899,1070.6184701531045,0.126344271745692,0.766142985171197,9844,EC,temporal,0.8587972368955709,569.2589226523837
no_groupdro,1683,1.4343434706189024,2.4071376799075104,-0.0836034484351659,0.1361163091403345,1749,NO3N,spatial,0.9313893653516296,8.331068398767734
no_groupdro,1636,1.808871224992543,2.9864456601988127,-0.2518898254411772,0.1856541924323451,1697,NO3N,spatial_temporal,0.9045374189746612,7.713939437254442
no_groupdro,12490,0.8422747208550148,1.7346981501524283,0.545673934151877,0.8312131499169398,13161,NO3N,temporal,0.9436213053719322,7.250487931590771
no_groupdro,1243,0.0715324480392565,0.1498988572670884,0.0282684965523766,0.3043443013902835,1327,TP,spatial,0.9525244913338358,0.3156836804787874
no_groupdro,1680,0.0934059120749289,0.2169937117748616,0.0038794329961669,0.1933855533952443,1733,TP,spatial_temporal,0.9394114252740912,0.3279670683869714
no_groupdro,10883,0.0804124923099104,0.2547108712901136,0.2904906338554675,0.7125100972529623,12540,TP,temporal,0.9185805422647528,0.2548002575053321
no_groupdro,1106,1.9918840582443105,2.497372851813556,-0.1819510766727208,0.4445489678699139,1106,O2-Dis,spatial,0.903254972875226,7.578667219962233
no_groupdro,1270,1.9467803255552047,2.410225294335026,-0.1009888593740262,0.3020537393483161,1272,O2-Dis,spatial_temporal,0.8852201257861635,7.631953556368964
no_groupdro,9819,1.29510497216616,1.837644559907164,0.4280636194668121,0.6835175421772247,9824,O2-Dis,temporal,0.9153094462540716,5.943859702189922
no_groupdro,241,9.06170059687032,13.696909239981569,0.1427299081970562,0.0900490594897216,276,TSS,spatial,0.8115942028985508,36.57883081546002
no_groupdro,256,7.522226973484541,12.6630320446226,-0.0951868655938168,-0.0579127512900823,290,TSS,spatial_temporal,0.8551724137931035,36.6604351875899
no_groupdro,2611,16.659142828949804,49.74618009063169,-0.0098863266547954,0.6092170456037522,4238,TSS,temporal,0.924964605946201,35.452183034669346
no_groupdro,449,3.444567701055316,4.272110402555602,0.6398010762245372,0.8175637434687697,449,TEMP,spatial,0.8930957683741648,12.654729572021258
no_groupdro,495,3.4254916065266627,4.211519837646231,0.6048099198979013,0.7945474101672946,495,TEMP,spatial_temporal,0.8666666666666667,12.183656297774844
no_groupdro,7259,2.9052986753985945,3.789333643670436,0.6493010156207879,0.8070754158635897,7259,TEMP,temporal,0.8772558203609313,11.142606007855996
no_groupdro,1057,0.2279127179823904,0.3502102777047516,0.4706891790666886,0.680113916095792,1057,pH,spatial,0.8845789971617786,0.9345025141944424
no_groupdro,1136,0.1980309089833487,0.2784651173102518,0.5734760402974728,0.6601660942008756,1136,pH,spatial_temporal,0.9102112676056338,0.9298169088734046
no_groupdro,10040,0.2186512699779878,0.3084801097055006,0.5989459801214555,0.7159190062305871,10040,pH,temporal,0.8712151394422311,0.8457310893369785
no_groupdro,1053,928.909557773741,5577.659544738313,0.2339133889588158,0.8251483864639764,1053,EC,spatial,0.8537511870845205,784.3945262951339
no_groupdro,1159,187.61944490590568,658.9996962028688,0.4363806831984542,0.8516183598051439,1159,EC,spatial_temporal,0.8843830888697153,509.99855094761455
no_groupdro,9844,160.83906475553297,930.7522222646256,0.3397034480480692,0.8677537651895861,9844,EC,temporal,0.7961194636326696,364.13166264968623
histgb,1683,1.279187091208092,2.236449112772493,0.0646232798674372,0.5604654163175958,1749,NO3N,spatial,0.8759291023441966,3.667749915873774
histgb,12490,0.7691074021537007,1.6073380086990268,0.6099374391391796,0.8575197902037962,13161,NO3N,temporal,0.966036015500342,4.936307737801712
histgb,1636,1.683871741549842,2.777550832460781,-0.0828814093160772,0.4778289622469877,1697,NO3N,spatial_temporal,0.8090748379493223,3.733427257349249
histgb,1243,0.0800913154575568,0.1569036563012432,-0.0646719801724307,0.3460115329285066,1327,TP,spatial,0.9932177844762624,0.6278070134834123
histgb,10883,0.0752457737626658,0.242090377335137,0.3590587607861832,0.7830380889594858,12540,TP,temporal,0.9831738437001596,0.6265152520930046
histgb,1680,0.091610114068132,0.2146502066372841,0.0252792616380376,0.3782856387020078,1733,TP,spatial_temporal,0.9861511829197924,0.6177684110576557
histgb,1106,1.6923129176574634,2.183216342994154,0.0967119406339465,0.5127871576930987,1106,O2-Dis,spatial,0.9484629294755876,9.057682179360429
histgb,9819,1.1928200632791088,1.727291474501651,0.4946922296362857,0.7357840171329874,9824,O2-Dis,temporal,0.9574511400651464,8.718774284211117
histgb,1270,1.6480397425689612,2.1445289327234898,0.1283714097650382,0.4876754294440947,1272,O2-Dis,spatial_temporal,0.9331761006289307,8.712190488620426
histgb,241,8.309217586689522,14.169676989473054,0.0825288624912194,0.4344833233807704,276,TSS,spatial,0.9057971014492754,44.76686104796959
histgb,2611,15.39501927317709,47.76116199295516,0.0691005668006302,0.6912448063107873,4238,TSS,temporal,0.9459650778669184,58.41509443713613
histgb,256,6.242507535140515,11.85375497493847,0.0403239310199631,0.2790047065388156,290,TSS,spatial_temporal,0.9310344827586208,41.92140005583128
histgb,449,2.059196466093153,2.8158180553126817,0.8435171807973922,0.9169416835839928,449,TEMP,spatial,0.9265033407572384,9.980126514482368
histgb,7259,2.490298761209813,3.1538358442377485,0.7570667379353347,0.865234690044656,7259,TEMP,temporal,0.8875878220140515,9.980126514482368
histgb,495,2.1986126432263484,2.8898027856199437,0.8139349744502775,0.8973716452617784,495,TEMP,spatial_temporal,0.9030303030303032,9.98012651448237
histgb,1057,0.2526956494606719,0.3694415265429018,0.4109604443779635,0.6544077791140889,1057,pH,spatial,0.923368022705771,1.210639495239485
histgb,10040,0.220167281469668,0.3105937167889269,0.593431389719864,0.7048270344798324,10040,pH,temporal,0.9421314741035856,1.2106394952394852
histgb,1136,0.2080110842273801,0.2894785581692909,0.5390703980326446,0.6390086868914261,1136,pH,spatial_temporal,0.949823943661972,1.2106394952394852
histgb,1053,925.6601730829344,5370.516307282491,0.2897587190847912,0.8278641652208201,1053,EC,spatial,0.9344729344729344,1065.0546452958586
histgb,9844,132.18036927384765,484.4774021992941,0.8210969154110757,0.8965737632347894,9844,EC,temporal,0.9592645266151972,788.9785985756324
histgb,1159,180.733037090466,596.7676639328021,0.5378042112167842,0.874390313302184,1159,EC,spatial_temporal,0.9603106125970664,852.5971981169097
